Id,tipo_moradia,localizacao,andares,nota_casa,ano_contrucao,preco,banheiros_tirar,vagas_garagem,cozinhas,banheiros,tamanho(em pés quadrados),tamanho lote
1,Densidade Residencial Baixa,College Creek,2,5,2003,208500,3,2,1,4,1710,8450
2,Densidade Residencial Baixa,Veenker,1,8,1976,181500,3,2,1,3,1262,9600
3,Densidade Residencial Baixa,College Creek,2,5,2001,223500,3,2,1,4,1786,11250
4,Densidade Residencial Baixa,Crawford,2,5,1915,140000,3,3,1,2,1717,9550
5,Densidade Residencial Baixa,Northridge,2,5,2000,250000,4,3,1,4,2198,14260
6,Densidade Residencial Baixa,Mitchell,2,5,1993,143000,1,2,1,3,1362,14115
7,Densidade Residencial Baixa,Somerset,1,5,2004,307000,3,2,1,3,1694,10084
8,Densidade Residencial Baixa,Northwest Ames,2,6,1973,200000,3,2,1,4,2090,10382
9,Densidade Residencial Média,Old Town,2,5,1931,129900,2,2,2,2,1774,6120
10,Densidade Residencial Baixa,Brookside,2,6,1939,118000,2,1,2,2,1077,7420
11,Densidade Residencial Baixa,Sawyer,1,5,1965,129500,3,1,1,2,1040,11200
12,Densidade Residencial Baixa,Northridge Heights,2,5,2005,345000,4,3,1,4,2324,11924
13,Densidade Residencial Baixa,Sawyer,1,6,1962,144000,2,1,1,2,912,12968
14,Densidade Residencial Baixa,College Creek,1,5,2006,279500,3,3,1,2,1494,10652
15,Densidade Residencial Baixa,NAmes,1,5,1960,157000,2,1,1,3,1253,10920
16,Densidade Residencial Média,Brookside,2,8,1929,132000,2,2,1,1,854,6120
17,Densidade Residencial Baixa,NAmes,1,7,1970,149000,2,2,1,2,1004,11241
18,Densidade Residencial Baixa,Sawyer,1,5,1967,90000,2,2,2,2,1296,10791
19,Densidade Residencial Baixa,Sawyer West,1,5,2004,159000,3,2,1,3,1114,13695
20,Densidade Residencial Baixa,NAmes,1,6,1958,139000,3,1,1,1,1339,7560
21,Densidade Residencial Baixa,Northridge Heights,2,5,2005,325300,4,3,1,4,2376,14215
22,Densidade Residencial Média,Iowa DOT and Rail Road,2,7,1930,139400,3,1,1,1,1108,7449
23,Densidade Residencial Baixa,College Creek,1,5,2002,230000,3,2,1,2,1795,9742
24,Densidade Residencial Média,Meadow Village,1,7,1976,129900,3,2,1,2,1060,4224
25,Densidade Residencial Baixa,Sawyer,1,8,1968,154000,3,1,1,2,1060,8246
26,Densidade Residencial Baixa,Northridge Heights,1,5,2007,256300,3,3,1,2,1600,14230
27,Densidade Residencial Baixa,NAmes,1,7,1951,134800,3,2,1,2,900,7200
28,Densidade Residencial Baixa,Northridge Heights,1,5,2007,306000,3,3,1,3,1704,11478
29,Densidade Residencial Baixa,NAmes,1,6,1957,207500,2,1,1,2,1600,16321
30,Densidade Residencial Média,Brookside,1,6,1927,68500,1,1,1,1,520,6324
31,C (all),Iowa DOT and Rail Road,2,4,1920,40000,3,1,1,1,1317,8500
32,Densidade Residencial Baixa,Sawyer,1,6,1966,149350,3,1,1,2,1228,8544
33,Densidade Residencial Baixa,College Creek,1,5,2007,179900,3,2,1,2,1234,11049
